stop_id,stop_name,stop_lat,stop_lon
101712-STOP_14470,新生公園(林安泰),25.067180,121.533363
101712-STOP_14564,青潭(新烏),24.951217,121.546789
101712-STOP_14566,青潭(北宜路),24.952627,121.547001
101712-STOP_14619,寶橋路口,24.976868,121.546288
101712-STOP_125495,東南客運停車場,25.063600,121.580999
101712-STOP_12850,松山車站(八德),25.049976,121.577246
101712-STOP_129832,捷運迴龍站,25.022547,121.412762
101712-STOP_130123,捷運忠孝復興站,25.040903,121.543572
101712-STOP_13153,安康路,25.063285,121.601313
101712-STOP_13226,福林橋,25.096957,121.527797
101712-STOP_13262,圓山皇宮大廈,25.083468,121.523326
101712-STOP_13271,長春松江路口,25.055006,121.533011
101712-STOP_13366,南山高中,24.999656,121.504826
101712-STOP_13401,仁愛建國路口二,25.037962,121.540775
101712-STOP_13414,松山車站,25.049806,121.578206
101712-STOP_13490,復興路三段,25.044465,121.462840
101712-STOP_136151,綠野山莊,24.988180,121.587633
101712-STOP_136166,捷運市政府站,25.041010,121.566835
101712-STOP_13714,民權吉林路口,25.062636,121.529148
101712-STOP_138206,萬興國小,24.989679,121.576757
101712-STOP_14261,捷運萬隆站,25.001363,121.539389
101712-STOP_143387,捷運南港軟體園區站,25.059853,121.615330
101712-STOP_14590,中正國宅,24.974051,121.537963
101712-STOP_14610,財政園區,24.995453,121.541336
101712-STOP_14709,名門社區,25.004637,121.567901
101712-STOP_125219,捷運景美站,24.993330,121.541140
101712-STOP_125298,捷運先嗇宮站,25.046158,121.471374
101712-STOP_12530,天母棒球場(忠誠),25.113280,121.531890
101712-STOP_125503,石潭公園(成功),25.061041,121.591015
101712-STOP_12824,進安公園,25.046124,121.537453
101712-STOP_12940,捷運中正紀念堂站(中山),25.036430,121.516730
101712-STOP_129868,黃昏市場,25.176827,121.445025
101712-STOP_130096,福德廟(行義),25.124510,121.526190
101712-STOP_13147,安康路,25.063137,121.601189
101712-STOP_13321,松山農會,25.050073,121.574914
101712-STOP_134745,海巡署,24.993857,121.559409
101712-STOP_138183,內埔,25.158750,121.531572
101712-STOP_138437,福華商場,25.068970,121.593620
101712-STOP_14360,錦繡站,24.943378,121.475736
101712-STOP_125252,健康新城,25.053978,121.562662
101712-STOP_12526,聯合醫院陽明院區,25.105428,121.530534
101712-STOP_125311,捷運南港站,25.052260,121.607245
101712-STOP_125338,捷運西門站,25.042517,121.508267
101712-STOP_125566,磺溪底,25.140679,121.549651
101712-STOP_125643,勞工大學,25.022968,121.472195
101712-STOP_12786,市立臺北特教學校,25.117330,121.534693
101712-STOP_12866,南港路二段178巷口,25.053324,121.600756
101712-STOP_129754,中山樓,25.151259,121.549713
101712-STOP_129824,九芎廟,25.078996,121.466575
101712-STOP_129889,士林監理站,25.095131,121.514043
101712-STOP_130073,捷運南港軟體園區站,25.059729,121.616103
101712-STOP_13288,師大分部,25.008437,121.537808
101712-STOP_13399,幸安國小,25.038045,121.534336
101712-STOP_134701,植福宮,25.080848,121.548239
101712-STOP_13510,捷運民權西路站,25.062848,121.517868
101712-STOP_13646,市議會,25.037029,121.562098
101712-STOP_14260,萬隆,24.999316,121.540200
101712-STOP_14432,財政園區,24.995453,121.541336
