trip_id,start_time,end_time,headway_secs
101712-10231:0:svc-2:5,23:40:00,23:40:01,86400
101712-10231:0:svc-1:5,21:00:00,21:00:01,86400
101712-10231:0:svc-1:5,21:20:00,21:20:01,86400
101712-10231:0:svc-64:5,21:00:00,21:00:01,86400
101712-10231:0:svc-64:5,21:20:00,21:20:01,86400
101712-10231:0:svc-32:5,21:00:00,21:00:01,86400
101712-10231:0:svc-32:5,21:20:00,21:20:01,86400
101712-10231:0:svc-16:5,21:00:00,21:00:01,86400
101712-10231:0:svc-16:5,21:20:00,21:20:01,86400
101712-10231:0:svc-8:5,21:00:00,21:00:01,86400
101712-10231:0:svc-8:5,21:20:00,21:20:01,86400
101712-10231:0:svc-4:5,21:00:00,21:00:01,86400
101712-10231:0:svc-4:5,21:20:00,21:20:01,86400
101712-10231:0:svc-2:5,21:00:00,21:00:01,86400
101712-10231:0:svc-2:5,21:20:00,21:20:01,86400
101712-10231:0:svc-1:5,05:40:00,21:00:00,1200
101712-10231:0:svc-64:5,05:40:00,06:30:00,600
101712-10231:0:svc-64:5,06:30:00,07:30:00,360
101712-10231:0:svc-64:5,07:30:00,17:00:00,600
101712-10231:0:svc-64:5,17:00:00,18:00:00,360
101712-10231:0:svc-64:5,18:00:00,21:00:00,600
101712-10231:0:svc-32:5,05:40:00,06:30:00,600
101712-10231:0:svc-32:5,06:30:00,07:30:00,360
101712-10231:0:svc-32:5,07:30:00,17:00:00,600
101712-10231:0:svc-32:5,17:00:00,18:00:00,360
101712-10231:0:svc-32:5,18:00:00,21:00:00,600
101712-10231:0:svc-16:5,05:40:00,06:30:00,600
101712-10231:0:svc-16:5,06:30:00,07:30:00,360
101712-10231:0:svc-16:5,07:30:00,17:00:00,600
101712-10231:0:svc-16:5,17:00:00,18:00:00,360
101712-10231:0:svc-16:5,18:00:00,21:00:00,600
101712-10231:0:svc-8:5,05:40:00,06:30:00,600
101712-10231:0:svc-8:5,06:30:00,07:30:00,360
101712-10231:0:svc-8:5,07:30:00,17:00:00,600
101712-10231:0:svc-8:5,17:00:00,18:00:00,360
101712-10231:0:svc-8:5,18:00:00,21:00:00,600
101712-10231:0:svc-4:5,05:40:00,06:30:00,600
101712-10231:0:svc-4:5,06:30:00,07:30:00,360
101712-10231:0:svc-4:5,07:30:00,17:00:00,600
101712-10231:0:svc-4:5,17:00:00,18:00:00,360
101712-10231:0:svc-4:5,18:00:00,21:00:00,600
101712-10231:0:svc-2:5,05:40:00,21:00:00,1200
101712-10443:0:svc-64:6,21:00:00,21:00:01,86400
101712-10443:0:svc-64:6,21:30:00,21:30:01,86400
101712-10443:0:svc-64:6,22:00:00,22:00:01,86400
101712-10443:0:svc-64:6,22:30:00,22:30:01,86400
101712-10443:0:svc-32:6,21:00:00,21:00:01,86400
101712-10443:0:svc-32:6,21:30:00,21:30:01,86400
101712-10443:0:svc-32:6,22:00:00,22:00:01,86400
101712-10443:0:svc-32:6,22:30:00,22:30:01,86400
101712-10443:0:svc-16:6,21:00:00,21:00:01,86400
101712-10443:0:svc-16:6,21:30:00,21:30:01,86400
101712-10443:0:svc-16:6,22:00:00,22:00:01,86400
101712-10443:0:svc-16:6,22:30:00,22:30:01,86400
101712-10443:0:svc-8:6,21:00:00,21:00:01,86400
101712-10443:0:svc-8:6,21:30:00,21:30:01,86400
101712-10443:0:svc-8:6,22:00:00,22:00:01,86400
101712-10443:0:svc-8:6,22:30:00,22:30:01,86400
101712-10443:0:svc-4:6,21:00:00,21:00:01,86400
101712-10443:0:svc-4:6,21:30:00,21:30:01,86400
101712-10443:0:svc-4:6,22:00:00,22:00:01,86400
101712-10443:0:svc-4:6,22:30:00,22:30:01,86400
101712-10443:0:svc-1:6,21:00:00,21:00:01,86400
101712-10443:0:svc-1:6,21:30:00,21:30:01,86400
101712-10443:0:svc-1:6,22:00:00,22:00:01,86400
101712-10443:0:svc-1:6,22:30:00,22:30:01,86400
101712-10443:0:svc-2:6,21:00:00,21:00:01,86400
101712-10443:0:svc-2:6,21:30:00,21:30:01,86400
101712-10443:0:svc-2:6,22:00:00,22:00:01,86400
101712-10443:0:svc-2:6,22:30:00,22:30:01,86400
101712-10443:0:svc-1:6,05:00:00,21:00:00,1200
101712-10443:0:svc-64:6,05:00:00,06:30:00,1200
101712-10443:0:svc-64:6,06:30:00,08:00:00,600
101712-10443:0:svc-64:6,08:00:00,16:00:00,1200
101712-10443:0:svc-64:6,16:00:00,17:00:00,600
101712-10443:0:svc-64:6,17:00:00,21:00:00,1200
101712-10443:0:svc-32:6,05:00:00,06:30:00,1200
101712-10443:0:svc-32:6,06:30:00,08:00:00,600
101712-10443:0:svc-32:6,08:00:00,16:00:00,1200
101712-10443:0:svc-32:6,16:00:00,17:00:00,600
101712-10443:0:svc-32:6,17:00:00,21:00:00,1200
101712-10443:0:svc-16:6,05:00:00,06:30:00,1200
101712-10443:0:svc-16:6,06:30:00,08:00:00,600
101712-10443:0:svc-16:6,08:00:00,16:00:00,1200
101712-10443:0:svc-16:6,16:00:00,17:00:00,600
101712-10443:0:svc-16:6,17:00:00,21:00:00,1200
101712-10443:0:svc-8:6,05:00:00,06:30:00,1200
101712-10443:0:svc-8:6,06:30:00,08:00:00,600
101712-10443:0:svc-8:6,08:00:00,16:00:00,1200
101712-10443:0:svc-8:6,16:00:00,17:00:00,600
101712-10443:0:svc-8:6,17:00:00,21:00:00,1200
101712-10443:0:svc-4:6,05:00:00,06:30:00,1200
101712-10443:0:svc-4:6,06:30:00,08:00:00,600
101712-10443:0:svc-4:6,08:00:00,16:00:00,1200
101712-10443:0:svc-4:6,16:00:00,17:00:00,600
101712-10443:0:svc-4:6,17:00:00,21:00:00,1200
101712-10443:0:svc-2:6,05:00:00,21:00:00,1200
101712-101810:0:svc-1:7,05:30:00,05:30:01,86400
101712-101810:0:svc-1:7,06:00:00,06:00:01,86400
101712-101810:0:svc-1:7,06:30:00,06:30:01,86400
101712-101810:0:svc-1:7,07:00:00,07:00:01,86400
101712-101810:0:svc-1:7,07:30:00,07:30:01,86400
101712-101810:0:svc-1:7,08:00:00,08:00:01,86400
101712-101810:0:svc-1:7,08:30:00,08:30:01,86400
101712-101810:0:svc-1:7,09:00:00,09:00:01,86400
101712-101810:0:svc-1:7,09:30:00,09:30:01,86400
101712-101810:0:svc-1:7,10:00:00,10:00:01,86400
101712-101810:0:svc-1:7,10:20:00,10:20:01,86400
101712-101810:0:svc-1:7,10:40:00,10:40:01,86400
101712-101810:0:svc-1:7,11:00:00,11:00:01,86400
101712-101810:0:svc-1:7,11:30:00,11:30:01,86400
101712-101810:0:svc-1:7,12:00:00,12:00:01,86400
101712-101810:0:svc-1:7,12:20:00,12:20:01,86400
101712-101810:0:svc-1:7,12:40:00,12:40:01,86400
101712-101810:0:svc-1:7,13:00:00,13:00:01,86400
101712-101810:0:svc-1:7,13:20:00,13:20:01,86400
101712-101810:0:svc-1:7,13:40:00,13:40:01,86400
101712-101810:0:svc-1:7,14:00:00,14:00:01,86400
101712-101810:0:svc-1:7,14:20:00,14:20:01,86400
101712-101810:0:svc-1:7,14:40:00,14:40:01,86400
101712-101810:0:svc-1:7,15:00:00,15:00:01,86400
101712-101810:0:svc-1:7,15:20:00,15:20:01,86400
101712-101810:0:svc-1:7,15:40:00,15:40:01,86400
101712-101810:0:svc-1:7,16:00:00,16:00:01,86400
101712-101810:0:svc-1:7,16:20:00,16:20:01,86400
101712-101810:0:svc-1:7,16:40:00,16:40:01,86400
101712-101810:0:svc-1:7,17:00:00,17:00:01,86400
101712-101810:0:svc-1:7,17:20:00,17:20:01,86400
101712-101810:0:svc-1:7,17:40:00,17:40:01,86400
101712-101810:0:svc-1:7,18:10:00,18:10:01,86400
101712-101810:0:svc-1:7,18:40:00,18:40:01,86400
101712-101810:0:svc-1:7,19:10:00,19:10:01,86400
101712-101810:0:svc-1:7,19:40:00,19:40:01,86400
101712-101810:0:svc-1:7,20:10:00,20:10:01,86400
101712-101810:0:svc-1:7,20:40:00,20:40:01,86400
101712-101810:0:svc-1:7,21:10:00,21:10:01,86400
101712-101810:0:svc-1:7,21:40:00,21:40:01,86400
101712-101810:0:svc-1:7,22:10:00,22:10:01,86400
101712-101810:0:svc-2:7,05:30:00,05:30:01,86400
101712-101810:0:svc-2:7,06:00:00,06:00:01,86400
101712-101810:0:svc-2:7,06:30:00,06:30:01,86400
101712-101810:0:svc-2:7,07:00:00,07:00:01,86400
101712-101810:0:svc-2:7,07:30:00,07:30:01,86400
101712-101810:0:svc-2:7,08:00:00,08:00:01,86400
101712-101810:0:svc-2:7,08:30:00,08:30:01,86400
101712-101810:0:svc-2:7,09:00:00,09:00:01,86400
101712-101810:0:svc-2:7,09:30:00,09:30:01,86400
101712-101810:0:svc-2:7,10:00:00,10:00:01,86400
101712-101810:0:svc-2:7,10:20:00,10:20:01,86400
101712-101810:0:svc-2:7,10:40:00,10:40:01,86400
101712-101810:0:svc-2:7,11:00:00,11:00:01,86400
101712-101810:0:svc-2:7,11:30:00,11:30:01,86400
101712-101810:0:svc-2:7,12:00:00,12:00:01,86400
101712-101810:0:svc-2:7,12:20:00,12:20:01,86400
101712-101810:0:svc-2:7,12:40:00,12:40:01,86400
101712-101810:0:svc-2:7,13:00:00,13:00:01,86400
101712-101810:0:svc-2:7,13:20:00,13:20:01,86400
101712-101810:0:svc-2:7,13:40:00,13:40:01,86400
101712-101810:0:svc-2:7,14:00:00,14:00:01,86400
101712-101810:0:svc-2:7,14:20:00,14:20:01,86400
101712-101810:0:svc-2:7,14:40:00,14:40:01,86400
101712-101810:0:svc-2:7,15:00:00,15:00:01,86400
101712-101810:0:svc-2:7,15:20:00,15:20:01,86400
101712-101810:0:svc-2:7,15:40:00,15:40:01,86400
101712-101810:0:svc-2:7,16:00:00,16:00:01,86400
101712-101810:0:svc-2:7,16:20:00,16:20:01,86400
101712-101810:0:svc-2:7,16:40:00,16:40:01,86400
101712-101810:0:svc-2:7,17:00:00,17:00:01,86400
101712-101810:0:svc-2:7,17:20:00,17:20:01,86400
101712-101810:0:svc-2:7,17:40:00,17:40:01,86400
101712-101810:0:svc-2:7,18:10:00,18:10:01,86400
101712-101810:0:svc-2:7,18:40:00,18:40:01,86400
101712-101810:0:svc-2:7,19:10:00,19:10:01,86400
101712-101810:0:svc-2:7,19:40:00,19:40:01,86400
101712-101810:0:svc-2:7,20:10:00,20:10:01,86400
101712-101810:0:svc-2:7,20:40:00,20:40:01,86400
101712-101810:0:svc-2:7,21:10:00,21:10:01,86400
101712-101810:0:svc-2:7,21:40:00,21:40:01,86400
101712-101810:0:svc-2:7,22:10:00,22:10:01,86400
101712-101810:0:svc-64:7,05:30:00,06:00:00,1200
101712-101810:0:svc-64:7,06:00:00,07:30:00,900
101712-101810:0:svc-64:7,07:30:00,15:30:00,1200
101712-101810:0:svc-64:7,15:30:00,17:00:00,900
101712-101810:0:svc-64:7,17:00:00,22:10:00,1200
101712-101810:0:svc-32:7,05:30:00,06:00:00,1200
101712-101810:0:svc-32:7,06:00:00,07:30:00,900
101712-101810:0:svc-32:7,07:30:00,15:30:00,1200
101712-101810:0:svc-32:7,15:30:00,17:00:00,900
101712-101810:0:svc-32:7,17:00:00,22:10:00,1200
101712-101810:0:svc-16:7,05:30:00,06:00:00,1200
101712-101810:0:svc-16:7,06:00:00,07:30:00,900
101712-101810:0:svc-16:7,07:30:00,15:30:00,1200
101712-101810:0:svc-16:7,15:30:00,17:00:00,900
101712-101810:0:svc-16:7,17:00:00,22:10:00,1200
101712-101810:0:svc-8:7,05:30:00,06:00:00,1200
101712-101810:0:svc-8:7,06:00:00,07:30:00,900
101712-101810:0:svc-8:7,07:30:00,15:30:00,1200
101712-101810:0:svc-8:7,15:30:00,17:00:00,900
101712-101810:0:svc-8:7,17:00:00,22:10:00,1200
101712-101810:0:svc-4:7,05:30:00,06:00:00,1200
101712-101810:0:svc-4:7,06:00:00,07:30:00,900
101712-101810:0:svc-4:7,07:30:00,15:30:00,1200
101712-101810:0:svc-4:7,15:30:00,17:00:00,900
101712-101810:0:svc-4:7,17:00:00,22:10:00,1200
101712-159520:0:svc-1:8,18:00:00,18:00:01,86400
101712-159520:0:svc-2:8,18:00:00,18:00:01,86400
101712-159520:0:svc-64:8,10:20:00,10:20:01,86400
101712-159520:0:svc-64:8,14:00:00,14:00:01,86400
101712-159520:0:svc-32:8,10:20:00,10:20:01,86400
101712-159520:0:svc-32:8,14:00:00,14:00:01,86400
101712-159520:0:svc-16:8,10:20:00,10:20:01,86400
101712-159520:0:svc-16:8,14:00:00,14:00:01,86400
101712-159520:0:svc-8:8,10:20:00,10:20:01,86400
101712-159520:0:svc-8:8,14:00:00,14:00:01,86400
101712-159520:0:svc-4:8,10:20:00,10:20:01,86400
101712-159520:0:svc-4:8,14:00:00,14:00:01,86400
101712-159520:0:svc-1:8,09:00:00,09:00:01,86400
101712-159520:0:svc-1:8,12:00:00,12:00:01,86400
101712-159520:0:svc-1:8,15:00:00,15:00:01,86400
101712-159520:0:svc-2:8,09:00:00,09:00:01,86400
101712-159520:0:svc-2:8,12:00:00,12:00:01,86400
101712-159520:0:svc-2:8,15:00:00,15:00:01,86400
101712-107520:0:svc-1:9,07:10:00,07:10:01,86400
101712-107520:0:svc-1:9,07:50:00,07:50:01,86400
101712-107520:0:svc-1:9,08:30:00,08:30:01,86400
101712-107520:0:svc-1:9,09:10:00,09:10:01,86400
101712-107520:0:svc-1:9,09:50:00,09:50:01,86400
101712-107520:0:svc-1:9,10:30:00,10:30:01,86400
101712-107520:0:svc-1:9,11:10:00,11:10:01,86400
101712-107520:0:svc-1:9,11:50:00,11:50:01,86400
101712-107520:0:svc-1:9,12:30:00,12:30:01,86400
101712-107520:0:svc-1:9,13:10:00,13:10:01,86400
101712-107520:0:svc-1:9,13:50:00,13:50:01,86400
101712-107520:0:svc-1:9,14:30:00,14:30:01,86400
101712-107520:0:svc-1:9,15:10:00,15:10:01,86400
101712-107520:0:svc-1:9,15:50:00,15:50:01,86400
101712-107520:0:svc-1:9,16:30:00,16:30:01,86400
101712-107520:0:svc-1:9,17:10:00,17:10:01,86400
101712-107520:0:svc-1:9,17:50:00,17:50:01,86400
101712-107520:0:svc-1:9,18:30:00,18:30:01,86400
101712-107520:0:svc-1:9,19:10:00,19:10:01,86400
101712-107520:0:svc-1:9,19:50:00,19:50:01,86400
101712-107520:0:svc-1:9,20:30:00,20:30:01,86400
101712-107520:0:svc-64:9,07:20:00,07:20:01,86400
101712-107520:0:svc-64:9,08:10:00,08:10:01,86400
101712-107520:0:svc-64:9,08:40:00,08:40:01,86400
101712-107520:0:svc-64:9,09:40:00,09:40:01,86400
101712-107520:0:svc-64:9,10:20:00,10:20:01,86400
