trip_id,arrival_time,departure_time,stop_id,stop_sequence
Brown_BR-1_RAIL_HD_UP,06:17:41,06:18:06,BR14,11
Brown_BR-1_RAIL_HD_UP,06:20:58,06:21:23,BR13,12
Brown_BR-1_RAIL_HD_UP,06:23:45,06:24:10,BR12,13
Brown_BR-1_RAIL_HD_UP,06:25:16,06:25:41,BR11,14
Brown_BR-1_RAIL_HD_UP,06:27:07,06:27:37,BR10,15
Brown_BR-1_RAIL_HD_UP,06:28:44,06:29:29,BR09,16
Brown_BR-1_RAIL_HD_UP,06:30:38,06:31:08,BR08,17
Brown_BR-1_RAIL_HD_UP,06:33:10,06:33:35,BR07,18
Brown_BR-1_RAIL_HD_UP,06:34:47,06:35:12,BR06,19
Brown_BR-1_RAIL_HD_UP,06:37:16,06:37:41,BR05,20
Brown_BR-1_RAIL_HD_UP,06:39:27,06:39:52,BR04,21
Brown_BR-1_RAIL_HD_UP,06:41:31,06:41:56,BR03,22
Brown_BR-1_RAIL_HD_UP,06:42:43,06:43:08,BR02,23
Brown_BR-1_RAIL_HD_UP,06:44:15,06:44:40,BR01,24
Brown_BR-1_RAIL_HD_DN,06:00:00,06:00:00,BR01,1
Brown_BR-1_RAIL_HD_DN,06:01:07,06:01:32,BR02,2
Brown_BR-1_RAIL_HD_DN,06:02:19,06:02:44,BR03,3
Brown_BR-1_RAIL_HD_DN,06:04:23,06:04:48,BR04,4
Brown_BR-1_RAIL_HD_DN,06:06:34,06:06:59,BR05,5
Brown_BR-1_RAIL_HD_DN,06:09:03,06:09:28,BR06,6
Brown_BR-1_RAIL_HD_DN,06:10:40,06:11:05,BR07,7
Brown_BR-1_RAIL_HD_DN,06:13:07,06:13:32,BR08,8
Brown_BR-1_RAIL_HD_DN,06:14:41,06:15:11,BR09,9
Brown_BR-1_RAIL_HD_DN,06:16:18,06:17:03,BR10,10
Brown_BR-1_RAIL_HD_DN,06:18:29,06:18:59,BR11,11
Brown_BR-1_RAIL_HD_DN,06:20:05,06:20:30,BR12,12
Brown_BR-1_RAIL_HD_DN,06:22:52,06:23:17,BR13,13
Brown_BR-1_RAIL_HD_DN,06:26:09,06:26:34,BR14,14
Brown_BR-1_RAIL_HD_DN,06:28:17,06:28:42,BR15,15
Brown_BR-1_RAIL_HD_DN,06:30:32,06:30:57,BR16,16
