table_name,field_name,language,translation,record_id,record_sub_id,field_value
stops,stop_name,en,Sanmin Senior High School,O53,,
stops,stop_name,en,Luzhou,O54,,
stops,stop_name,en,Xiangshan,R02,,
stops,stop_name,en,Taipei 101/World Trade Center,R03,,
stops,stop_name,en,Xinyi Anhe,R04,,
stops,stop_name,en,Daan,R05,,
stops,stop_name,en,Daan Park,R06,,
stops,stop_name,en,Dongmen,R07,,
stops,stop_name,en,Chiang Kai-Shek Memorial Hall,R08,,
stops,stop_name,en,NTU Hospital,R09,,
stops,stop_name,en,Taipei Main Station,R10,,
stops,stop_name,en,Zhongshan,R11,,
stops,stop_name,en,Shuanglian,R12,,
stops,stop_name,en,Minquan W. Rd.,R13,,
stops,stop_name,en,Yuanshan,R14,,
stops,stop_name,en,Jiantan,R15,,
stops,stop_name,en,Shilin,R16,,
stops,stop_name,en,Zhishan,R17,,
stops,stop_name,en,Mingde,R18,,
stops,stop_name,en,Shipai,R19,,
stops,stop_name,en,Qilian,R20,,
stops,stop_name,en,Qiyan,R21,,
stops,stop_name,en,Beitou,R22,,
stops,stop_name,en,Xinbeitou,R22A,,
stops,stop_name,en,Fuxinggang,R23,,
stops,stop_name,en,Zhongyi,R24,,
stops,stop_name,en,Guandu,R25,,
stops,stop_name,en,Zhuwei,R26,,
stops,stop_name,en,Hongshulin,R27,,
stops,stop_name,en,Tamsui,R28,,
stops,stop_name,en,Dapinglin,Y07,,
stops,stop_name,en,Shisizhang,Y08,,
stops,stop_name,en,Xiulang Bridge,Y09,,
stops,stop_name,en,Jingping,Y10,,
stops,stop_name,en,Jingan,Y11,,
stops,stop_name,en,Zhonghe,Y12,,
stops,stop_name,en,Qiaohe,Y13,,
stops,stop_name,en,Zhongyuan,Y14,,
stops,stop_name,en,Banxin,Y15,,
stops,stop_name,en,Banqiao,Y16,,
stops,stop_name,en,Xinpu Minsheng,Y17,,
stops,stop_name,en,Touqianzhuang,Y18,,
stops,stop_name,en,Xingfu,Y19,,
